url,match_url,status,action_type,action_code,action_data,match_type,regex,title
/mamadoukebe/,/mamadoukebe,enabled,url,301,/o-home/mamadoukebe/,url,0,
/mamadoukebe/,/mamadoukebe,enabled,url,301,https://onixdatacentres.com/o-home/mamadoukebe/,url,0,
/2023/11/21/bluespace-financial-cloud-and-onix-data-centre-join-forces-to-redefine-financial-technology-landscape/,/2023/11/21/bluespace-financial-cloud-and-onix-data-centre-join-forces-to-redefine-financial-technology-landscape,enabled,url,301,/2023/11/21/bluespace-financial-cloud-onix-data-centre/,url,0,
/o-ghana/,/o-ghana,enabled,url,301,/o-home/o-ghana/,url,0,
/senegal/,/senegal,enabled,url,301,/o-home/senegal/,url,0,
/2024/01/16/navigating-the-future-reflecting-on-vertivs-2024-data-centre-trends-and-their-implications-for-onix-data-centre/,/2024/01/16/navigating-the-future-reflecting-on-vertivs-2024-data-centre-trends-and-their-implications-for-onix-data-centre,enabled,url,301,/2024/01/16/navigating-2024-data-centre-trends/,url,0,
/blog/,/blog,disabled,url,301,/o-home/blog/,url,0,
/2024/03/07/the-role-of-edge-computing-in-ghanas-digital-transformation-in-ghana/,/2024/03/07/the-role-of-edge-computing-in-ghanas-digital-transformation-in-ghana,enabled,url,301,/2024/03/07/edge-computing-in-ghana/,url,0,
/home-v2/,/home-v2,enabled,url,301,/o-home/home-v2/,url,0,
/baraawafall/,/baraawafall,enabled,url,301,/o-home/senegal/baraawafall/,url,0,
/o-home/eric-tenkorang/,/o-home/eric-tenkorang,enabled,url,301,/o-home/o-ghana/eric-tenkorang/,url,0,
/o-home/razak-awudulai/,/o-home/razak-awudulai,disabled,url,301,/o-home/razak-awudulai1/,url,0,
/o-home/razak/,/o-home/razak,enabled,url,301,/o-home/razak-awudulai/,url,0,
/o-home/o-ghana/eric-tenkorang-copy/,/o-home/o-ghana/eric-tenkorang-copy,enabled,url,301,/o-home/o-ghana/staging123/,url,0,
/o-ghana/onix-team-contact/,/o-ghana/onix-team-contact,disabled,url,301,/o-ghana/contact-us/onix-team-contact/,url,0,
/o-ghana/contact-us/onix-team-contact/,/o-ghana/contact-us/onix-team-contact,enabled,url,301,/o-ghana/onix-team-contact/,url,0,
/pitch-competition/,/pitch-competition,enabled,url,301,/pitch/,url,0,
/2025/08/28/the-hidden-cost-of-latency-why-every-millisecond-matters-in-ghanas-digital-economy/,/2025/08/28/the-hidden-cost-of-latency-why-every-millisecond-matters-in-ghanas-digital-economy,enabled,url,301,/2025/08/28/hidden-latency-ghana/,url,0,
/elementor-9727/,/elementor-9727,enabled,url,301,/linx1/,url,0,
/linx1/,/linx1,enabled,url,301,/linx/,url,0,
/linx/,/linx,enabled,url,301,/linxaccra/,url,0,
/o-home/blog/,/o-home/blog,enabled,url,301,/blog/,url,0,
/o-home/about-us/,/o-home/about-us,enabled,url,301,/about-us/,url,0,
/o-home/o-contact-us/,/o-home/o-contact-us,enabled,url,301,/contact-us/,url,0,
/home/o-infrastructure/,/home/o-infrastructure,enabled,url,301,/home/infrastructure/,url,0,
