legacy_url,payload_id,classification,notes
/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,3,200_PRESERVED,
/2020/12/21/challenges-in-data-centre-deployment-in-africa/,4,200_PRESERVED,
/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,5,200_PRESERVED,
/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,6,200_PRESERVED,
/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,7,200_PRESERVED,
/2020/12/21/connecting-the-unconnected-in-africa/,8,200_PRESERVED,
/2021/01/22/africa-drivers-of-growth-2021/,9,200_PRESERVED,
/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,10,200_PRESERVED,
/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,11,200_PRESERVED,
/2021/06/07/africas-digital-economy-the-post-mobile-wave/,12,200_PRESERVED,
/2021/09/21/onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa/,13,200_PRESERVED,
/2022/11/17/onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival/,14,200_PRESERVED,
/2022/11/29/afr-ix-onix-internet-data-partnership/,15,200_PRESERVED,
/2022/12/20/onix-data-centre-accra-achieves-iso-27001-and-iso-9001-certification/,16,200_PRESERVED,
/2023/02/24/onix-ceo-mike-nahons-speech-senegal/,17,200_PRESERVED,
/2023/03/08/colocation-data-centres/,18,200_PRESERVED,
/2023/03/23/senegal-the-next-singapore/,19,200_PRESERVED,
/2023/04/19/cold-aisle-containment-data-centre-cooling/,20,200_PRESERVED,
/2023/05/24/fire-suppression-data-centres/,21,200_PRESERVED,
/2023/05/09/protecting-your-data-the-importance-of-data-security-for-businesses-and-institutions/,22,200_PRESERVED,
/2023/05/11/tier-3-facility-in-dakar-2023-completion/,23,200_PRESERVED,
/2023/02/17/onix-launch-dakar/,24,200_PRESERVED,
/2023/06/20/uptime-power-backup-onix-data-centre/,25,200_PRESERVED,
/2023/08/02/solar-data-sustainable-solution/,26,200_PRESERVED,
/2023/08/16/the-role-of-data-centres-in-smart-cities-the-future-of-urban-living-in-africa/,27,200_PRESERVED,
/2023/09/12/strategic-network-peering-a-beginners-guide/,28,200_PRESERVED,
/2023/09/26/resilience-data-centres-natural-disasters/,29,200_PRESERVED,
/2023/10/03/healthcare-colocation-data-centre/,30,200_PRESERVED,
/2023/10/31/elevating-government-data-management-colocation-services/,31,200_PRESERVED,
/2023/11/09/support-for-south-tongu-flood-relief/,32,200_PRESERVED,
/2023/11/21/bluespace-financial-cloud-onix-data-centre/,33,200_PRESERVED,
/2023/12/12/africas-data-centre-revolution/,34,200_PRESERVED,
/2024/01/16/navigating-2024-data-centre-trends/,35,200_PRESERVED,
/2024/01/23/onix-growth-innovation-leadership-transition/,36,200_PRESERVED,
/2024/02/20/solar-power-data-centres-sustainable/,37,200_PRESERVED,
/2024/03/07/edge-computing-in-ghana/,38,200_PRESERVED,
/2024/03/18/digital-resilience-in-west-africa/,39,200_PRESERVED,
/2024/03/26/onix-introduces-cloud-computing-ghana/,40,200_PRESERVED,
/2024/04/03/onix-data-centres-partnership-glico-insurance/,41,200_PRESERVED,
/2024/04/24/different-industries-utilise-data-centres/,42,200_PRESERVED,
/2024/05/07/data-centre-innovations-africa-adca-report/,43,200_PRESERVED,
/2024/05/15/transparency-customer-awareness-data-hosting/,44,200_PRESERVED,
/2024/05/28/global-connectivity/,45,200_PRESERVED,
/2024/06/11/data-centre-collaboration/,46,200_PRESERVED,
/2024/06/20/strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers/,47,200_PRESERVED,
/2024/07/09/harnessing-ai-renewable-energy/,48,200_PRESERVED,
/2024/07/23/enhancing-resilience-security-it-outages/,49,200_PRESERVED,
/2024/10/15/data-centres-healthcare-africa/,50,200_PRESERVED,
/2024/10/29/empowering-digital-transformation-africa-data-centres/,51,200_PRESERVED,
/2024/11/19/why-onix-location-genius/,52,200_PRESERVED,
/2024/11/13/onix-data-centres-linx-ghana/,53,200_PRESERVED,
/2024/12/03/advantages-tier-iv-data-centre/,54,200_PRESERVED,
/2024/12/17/santas-secret-data-centres/,55,200_PRESERVED,
/2025/01/08/5-it-resolutions/,56,200_PRESERVED,
/2025/01/23/revolutionising-innovation-africa-local-hosting/,57,200_PRESERVED,
/2025/02/04/the-true-cost-of-downtime/,58,200_PRESERVED,
/2025/02/18/the-power-of-data-synchronisation-building-ghanas-digital-future/,59,200_PRESERVED,
/2025/03/11/africas-tech-industry-challenges/,60,200_PRESERVED,
/2025/03/25/africa-digital-infrastructure/,61,200_PRESERVED,
/2025/04/08/powering-smart-cities-africa-infrastructure/,62,200_PRESERVED,
/2025/04/24/blueprint-digital-africa-gitex-africa/,63,200_PRESERVED,
/2025/05/06/linx-accra-onix/,64,200_PRESERVED,
/2025/05/28/carrier-neutral-data-centres/,65,200_PRESERVED,
/2025/06/10/data-centres-decarbonisation-africa/,66,200_PRESERVED,
/2025/07/02/reflections-pan-african-data-centre-conference/,67,200_PRESERVED,
/2025/07/07/linx-accra-launches-ghana/,68,200_PRESERVED,
/2025/07/22/gctu-students-explore-onix-data-centre/,69,200_PRESERVED,
/2025/08/05/ghana-data-centre-powerhouse/,70,200_PRESERVED,
/2025/08/28/hidden-latency-ghana/,71,200_PRESERVED,
/2025/09/09/digital-africa-summit-ghana-2025/,72,200_PRESERVED,
/2025/09/30/local-infrastructure-future-gaming/,73,200_PRESERVED,
/2025/10/13/ghana-afts-accra-2025/,74,200_PRESERVED,
/2025/10/14/linx-accra-live-at-onix/,75,200_PRESERVED,
/2025/10/28/africa-digital-cloud-resilience/,2,200_PRESERVED,
/2025/11/13/what-is-peering/,1,200_PRESERVED,
/2025/12/08/returnee-onix-data-centre-business/,76,200_PRESERVED,
/2026/01/07/2026-the-year-reliability-becomes-strategy/,77,200_PRESERVED,
/2026/01/20/sla-vs-reality-data-centres-uptime/,78,200_PRESERVED,
/2026/02/05/composable-dynamic-infrastructure/,79,200_PRESERVED,
/2026/03/09/ghana-independence-69-digital-nation/,80,200_PRESERVED,
/2026/03/31/africas-ai-future-infrastructure/,81,200_PRESERVED,
