source_path,destination,status_code,status
/mamadoukebe/,/o-home/mamadoukebe/,301,imported
/2023/11/21/bluespace-financial-cloud-and-onix-data-centre-join-forces-to-redefine-financial-technology-landscape/,/2023/11/21/bluespace-financial-cloud-onix-data-centre/,301,imported
/o-ghana/,/o-home/o-ghana/,301,imported
/senegal/,/o-home/senegal/,301,imported
/2024/01/16/navigating-the-future-reflecting-on-vertivs-2024-data-centre-trends-and-their-implications-for-onix-data-centre/,/2024/01/16/navigating-2024-data-centre-trends/,301,imported
/2024/03/07/the-role-of-edge-computing-in-ghanas-digital-transformation-in-ghana/,/2024/03/07/edge-computing-in-ghana/,301,imported
/home-v2/,/o-home/home-v2/,301,imported
/baraawafall/,/o-home/senegal/baraawafall/,301,imported
/o-home/eric-tenkorang/,/o-home/o-ghana/eric-tenkorang/,301,imported
/o-home/razak/,/o-home/razak-awudulai/,301,imported
/o-home/o-ghana/eric-tenkorang-copy/,/o-home/o-ghana/staging123/,301,imported
/o-ghana/contact-us/onix-team-contact/,/o-ghana/onix-team-contact/,301,imported
/pitch-competition/,/pitch/,301,imported
/2025/08/28/the-hidden-cost-of-latency-why-every-millisecond-matters-in-ghanas-digital-economy/,/2025/08/28/hidden-latency-ghana/,301,imported
/elementor-9727/,/linx1/,301,imported
/linx1/,/linx/,301,imported
/linx/,/linxaccra/,301,imported
/o-home/blog/,/blog/,301,imported
/o-home/about-us/,/about-us/,301,imported
/o-home/o-contact-us/,/contact-us/,301,imported
/home/o-infrastructure/,/home/infrastructure/,301,imported
