content_id,old_url,seo_title_status,meta_description_status,canonical_status,social_status,robots_status,notes
88,/2026/07/28/what-happens-inside-a-tier-iv-data-centre-during-a-power-cut/,missing,missing,mapped,missing,default,
87,/2026/07/07/when-financial-data-comes-home-what-nigerias-new-direction-means-for-ghana/,missing,missing,mapped,missing,default,
86,/2026/06/15/ai-boom-africa-data-centres/,missing,missing,mapped,missing,default,
85,/2026/06/02/health-data-sovereignty-ghana-digital-health-infrastructure/,mapped,missing,mapped,missing,default,
84,/2026/05/19/your-server-room-is-not-a-data-centre/,mapped,missing,mapped,missing,default,
83,/2026/04/28/infrastructure-decisions-are-becoming-timing-decisions/,mapped,missing,mapped,missing,default,
82,/2026/04/14/war-conflict-revealing-about-cloud/,mapped,missing,mapped,missing,default,
81,/2026/03/31/africas-ai-future-infrastructure/,mapped,missing,mapped,missing,default,
80,/2026/03/09/ghana-independence-69-digital-nation/,mapped,missing,mapped,missing,default,
79,/2026/02/05/composable-dynamic-infrastructure/,mapped,missing,mapped,missing,default,
78,/2026/01/20/sla-vs-reality-data-centres-uptime/,mapped,missing,mapped,missing,default,
77,/2026/01/07/2026-the-year-reliability-becomes-strategy/,mapped,missing,mapped,missing,default,
76,/2025/12/08/returnee-onix-data-centre-business/,mapped,missing,mapped,missing,default,
75,/2025/10/14/linx-accra-live-at-onix/,mapped,missing,mapped,missing,default,
74,/2025/10/13/ghana-afts-accra-2025/,mapped,missing,mapped,missing,default,
73,/2025/09/30/local-infrastructure-future-gaming/,mapped,missing,mapped,missing,default,
72,/2025/09/09/digital-africa-summit-ghana-2025/,mapped,missing,mapped,missing,default,
71,/2025/08/28/hidden-latency-ghana/,mapped,missing,mapped,missing,default,
70,/2025/08/05/ghana-data-centre-powerhouse/,mapped,missing,mapped,missing,default,
69,/2025/07/22/gctu-students-explore-onix-data-centre/,mapped,missing,mapped,missing,default,
68,/2025/07/07/linx-accra-launches-ghana/,mapped,missing,mapped,missing,default,
67,/2025/07/02/reflections-pan-african-data-centre-conference/,mapped,missing,mapped,missing,default,
66,/2025/06/10/data-centres-decarbonisation-africa/,mapped,missing,mapped,missing,default,
65,/2025/05/28/carrier-neutral-data-centres/,mapped,missing,mapped,missing,default,
64,/2025/05/06/linx-accra-onix/,mapped,missing,mapped,missing,default,
63,/2025/04/24/blueprint-digital-africa-gitex-africa/,mapped,missing,mapped,missing,default,
62,/2025/04/08/powering-smart-cities-africa-infrastructure/,mapped,missing,mapped,missing,default,
61,/2025/03/25/africa-digital-infrastructure/,mapped,missing,mapped,missing,default,
60,/2025/03/11/africas-tech-industry-challenges/,mapped,missing,mapped,missing,default,
59,/2025/02/18/the-power-of-data-synchronisation-building-ghanas-digital-future/,mapped,missing,mapped,missing,default,
58,/2025/02/04/the-true-cost-of-downtime/,mapped,missing,mapped,missing,default,
57,/2025/01/23/revolutionising-innovation-africa-local-hosting/,mapped,missing,mapped,missing,default,
56,/2025/01/08/5-it-resolutions/,mapped,missing,mapped,missing,default,
55,/2024/12/17/santas-secret-data-centres/,mapped,missing,mapped,missing,default,
54,/2024/12/03/advantages-tier-iv-data-centre/,mapped,missing,mapped,missing,default,
53,/2024/11/13/onix-data-centres-linx-ghana/,mapped,missing,mapped,missing,default,
52,/2024/11/19/why-onix-location-genius/,mapped,missing,mapped,missing,default,
51,/2024/10/29/empowering-digital-transformation-africa-data-centres/,mapped,missing,mapped,missing,default,
50,/2024/10/15/data-centres-healthcare-africa/,mapped,missing,mapped,missing,default,
49,/2024/07/23/enhancing-resilience-security-it-outages/,mapped,missing,mapped,missing,default,
48,/2024/07/09/harnessing-ai-renewable-energy/,mapped,missing,mapped,missing,default,
47,/2024/06/20/strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers/,mapped,missing,mapped,missing,default,
46,/2024/06/11/data-centre-collaboration/,mapped,missing,mapped,missing,default,
45,/2024/05/28/global-connectivity/,mapped,missing,mapped,missing,default,
44,/2024/05/15/transparency-customer-awareness-data-hosting/,mapped,missing,mapped,missing,default,
43,/2024/05/07/data-centre-innovations-africa-adca-report/,mapped,missing,mapped,missing,default,
42,/2024/04/24/different-industries-utilise-data-centres/,mapped,missing,mapped,missing,default,
41,/2024/04/03/onix-data-centres-partnership-glico-insurance/,mapped,missing,mapped,missing,default,
40,/2024/03/26/onix-introduces-cloud-computing-ghana/,mapped,missing,mapped,missing,default,
